forward_packet_count,backward_packet_count,backward_flow_volume,DDoS attack
10,10,3210,2
30,30,9630,2
49,49,15729,2
8,8,2568,2
27,27,8667,2
47,47,15087,2
6,6,1926,2
26,26,8346,2
45,45,14445,2
4,4,1284,2
23,23,7383,2
42,42,13482,2
2,2,642,2
21,21,6741,2
41,41,13161,2
1,1,321,2
20,20,6420,2
39,39,12519,2
59,59,18939,2
17,17,5457,2
37,37,11877,2
56,56,17976,2
15,15,4815,2
35,35,11235,2
54,54,17334,2
14,14,4494,2
33,33,10593,2
53,53,17013,2
12,12,3852,2
32,32,10272,2
51,51,16371,2
9,9,2889,2
29,29,9309,2
48,48,15408,2
7,7,2247,2
27,27,8667,2
46,46,14766,2
6,6,1926,2
25,25,8025,2
45,45,14445,2
4,4,1284,2
24,24,7704,2
43,43,13803,2
2,2,642,2
22,22,7062,2
41,41,13161,2
2,2,642,2
20,20,6420,2
41,41,13161,2
0,0,0,2
19,19,6099,2
37,37,11877,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
4,4,1284,2
23,23,7383,2
92,3,2156,1
224,1,1514,1
412,1,1514,1
74,1,1514,1
207,1,1514,1
393,1,1514,1
54,1,1514,1
245,1,1514,1
378,1,1514,1
37,1,1514,1
218,1,1514,1
349,1,1514,1
537,5,2798,1
204,4,2477,1
335,5,2798,1
523,4,2477,1
185,5,2798,1
316,4,2477,1
502,5,2798,1
96,18,6971,1
81,3,2156,1
354,3,2156,1
624,3,2156,1
57,2,1835,1
313,3,2156,1
581,2,1835,1
30,3,2156,1
300,3,2156,1
566,3,2156,1
8,3,2156,1
270,2,1835,1
537,3,2156,1
726,3,2156,1
231,3,2156,1
429,2,1835,1
620,3,2156,1
218,2,1835,1
482,3,2156,1
690,3,2156,1
192,3,2156,1
443,3,2156,1
709,3,2156,1
165,3,2156,1
430,3,2156,1
695,3,2156,1
137,1,1514,1
389,1,1514,1
648,1,1514,1
108,1,1514,1
342,1,1514,1
588,1,1514,1
80,5,2798,1
356,5,2798,1
630,5,2798,1
54,4,2477,1
335,5,2798,1
608,5,2798,1
32,5,2798,1
292,5,2798,1
564,5,2798,1
8,5,2798,1
274,4,2477,1
522,5,2798,1
721,5,2798,1
191,5,2798,1
435,5,2798,1
623,3,2156,1
210,3,2156,1
490,3,2156,1
697,2,1835,1
202,3,2156,1
471,3,2156,1
715,3,2156,1
153,3,2156,1
426,3,2156,1
680,3,2156,1
140,2,1835,1
392,3,2156,1
642,3,2156,1
106,3,2156,1
366,3,2156,1
615,3,2156,1
104,3,2156,1
3,4,1284,1
24,5,2798,1
225,3,2156,1
420,3,2156,1
240,2,1835,1
496,3,2156,1
338,2,1835,1
592,3,2156,1
481,2,1835,1
370,3,2156,1
572,3,2156,1
460,3,2156,1
345,3,2156,1
547,3,2156,1
432,3,2156,1
321,2,1835,1
525,3,2156,1
407,3,2156,1
292,3,2156,1
493,3,2156,1
376,2,1835,1
263,3,2156,1
465,3,2156,1
350,3,2156,1
238,3,2156,1
436,2,1835,1
323,3,2156,1
214,3,2156,1
418,1,1514,1
300,1,1514,1
186,1,1514,1
386,1,1514,1
275,1,1514,1
549,1,1514,1
381,1,1514,1
255,1,1514,1
514,1,1514,1
337,1,1514,1
237,1,1514,1
494,1,1514,1
378,1,1514,1
579,1,1514,1
440,1,1514,1
309,4,2477,1
472,1,1514,1
376,5,2798,1
287,4,2477,1
454,4,2477,1
361,4,2477,1
264,4,2477,1
427,4,2477,1
320,3,2156,1
234,3,2156,1
405,3,2156,1
315,2,1835,1
231,3,2156,1
420,4,2477,1
297,3,2156,1
9,9,2889,2
29,29,9309,2
48,48,15408,2
8,8,2568,2
27,27,8667,2
47,47,15087,2
6,6,1926,2
26,26,8346,2
123,5,2798,1
330,3,2156,1
595,3,2156,1
434,3,2156,1
286,3,2156,1
563,3,2156,1
435,2,1835,1
258,2,1835,1
529,2,1835,1
408,2,1835,1
290,2,1835,1
512,3,2156,1
386,2,1835,1
257,2,1835,1
479,2,1835,1
762,2,1835,1
236,2,1835,1
465,2,1835,1
743,2,1835,1
213,3,2156,1
432,3,2156,1
711,2,1835,1
186,1,1514,1
405,1,1514,1
682,1,1514,1
164,1,1514,1
379,1,1514,1
659,1,1514,1
134,1,1514,1
379,2,1835,1
655,3,2156,1
129,1,1514,1
346,1,1514,1
621,3,2156,1
99,3,2156,1
276,1,1514,1
504,2,1835,1
90,2,1835,1
313,3,2156,1
587,2,1835,1
63,3,2156,1
277,2,1835,1
542,2,1835,1
412,1,1514,1
291,1,1514,1
490,4,2477,1
376,1,1514,1
279,3,2156,1
499,4,2477,1
768,4,2477,1
268,4,2477,1
484,3,2156,1
759,3,2156,1
242,5,2798,1
454,2,1835,1
734,1,1514,1
210,3,2156,1
422,4,2477,1
692,3,2156,1
183,5,2798,1
394,4,2477,1
667,5,2798,1
154,4,2477,1
365,3,2156,1
641,3,2156,1
132,1,1514,1
353,1,1514,1
631,2,1835,1
103,1,1514,1
321,1,1514,1
542,2,1835,1
67,2,1835,1
275,2,1835,1
542,3,2156,1
50,2,1835,1
316,3,2156,1
528,2,1835,1
408,2,1835,1
285,2,1835,1
493,2,1835,1
752,2,1835,1
252,1,1514,1
449,2,1835,1
698,3,2156,1
223,1,1514,1
410,1,1514,1
651,1,1514,1
203,1,1514,1
399,1,1514,1
650,1,1514,1
173,1,1514,1
375,1,1514,1
624,1,1514,1
167,3,2156,1
360,3,2156,1
609,3,2156,1
