forward_packet_count, backward_packet_count, backward_flow_volume

0,0,0
10,10,3210
30,30,9630
49,49,15729
8,8,2568
27,27,8667
47,47,15087
6,6,1926
26,26,8346
45,45,14445
4,4,1284
23,23,7383
42,42,13482
2,2,642
21,21,6741
41,41,13161
1,1,321
20,20,6420
39,39,12519
59,59,18939
17,17,5457
37,37,11877
56,56,17976
15,15,4815
35,35,11235
54,54,17334
14,14,4494
33,33,10593
53,53,17013
12,12,3852
32,32,10272
51,51,16371
9,9,2889
29,29,9309
48,48,15408
7,7,2247
27,27,8667
46,46,14766
6,6,1926
25,25,8025
45,45,14445
4,4,1284
24,24,7704
43,43,13803
2,2,642
22,22,7062
41,41,13161
2,2,642
20,20,6420
41,41,13161
0,0,0
19,19,6099
37,37,11877
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,4,1284
23,23,7383
92,3,2156
224,1,1514
412,1,1514
74,1,1514
207,1,1514
393,1,1514
54,1,1514
245,1,1514
378,1,1514
37,1,1514
218,1,1514
349,1,1514
537,5,2798
204,4,2477
335,5,2798
523,4,2477
185,5,2798
316,4,2477
502,5,2798
96,18,6971
81,3,2156
354,3,2156
624,3,2156
57,2,1835
313,3,2156
581,2,1835
30,3,2156
300,3,2156
566,3,2156
8,3,2156
270,2,1835
537,3,2156
726,3,2156
231,3,2156
429,2,1835
620,3,2156
218,2,1835
482,3,2156
690,3,2156
192,3,2156
443,3,2156
709,3,2156
165,3,2156
430,3,2156
695,3,2156
137,1,1514
389,1,1514
648,1,1514
108,1,1514
342,1,1514
588,1,1514
80,5,2798
356,5,2798
630,5,2798
54,4,2477
335,5,2798
608,5,2798
32,5,2798
292,5,2798
564,5,2798
8,5,2798
274,4,2477
522,5,2798
721,5,2798
191,5,2798
435,5,2798
623,3,2156
210,3,2156
490,3,2156
697,2,1835
202,3,2156
471,3,2156
715,3,2156
153,3,2156
426,3,2156
680,3,2156
140,2,1835
392,3,2156
642,3,2156
106,3,2156
366,3,2156
615,3,2156
104,3,2156
3,4,1284
24,5,2798
225,3,2156
420,3,2156
240,2,1835
496,3,2156
338,2,1835
592,3,2156
481,2,1835
370,3,2156
572,3,2156
460,3,2156
345,3,2156
547,3,2156
432,3,2156
321,2,1835
